id_number,name,type_1,type_2,alternative_types,stat_total,HP,Attack,Defense,Special Attack,Special Defense,Speed
61,Poliwhirl,Water,No second type,No alternate type,385,65,65,65,50,50,90
,,,,,,,,,,,
62,Poliwrath,Water,Fighting,No alternate type,510,90,95,95,70,90,70
,,,,,,,,,,,
63,Abra,Psychic,No second type,No alternate type,310,25,20,15,105,55,90
,,,,,,,,,,,
64,Kadabra,Psychic,No second type,No alternate type,400,40,35,30,120,70,105
,,,,,,,,,,,
65,Alakazam,Psychic,No second type,No alternate type,500,55,50,45,135,95,120
,,,,,,,,,,,
66,Machop,Fighting,No second type,No alternate type,305,70,80,50,35,35,35
,,,,,,,,,,,
67,Machoke,Fighting,No second type,No alternate type,405,80,100,70,50,60,45
,,,,,,,,,,,
68,Machamp,Fighting,No second type,No alternate type,505,90,130,80,65,85,55
,,,,,,,,,,,
69,Bellsprout,Grass,Poison,No alternate type,300,50,75,35,70,30,40
,,,,,,,,,,,
70,Weepinbell,Grass,Poison,No alternate type,390,65,90,50,85,45,55
,,,,,,,,,,,
71,Victreebel,Grass,Poison,No alternate type,490,80,105,65,100,70,70
,,,,,,,,,,,
72,Tentacool,Water,Poison,No alternate type,335,40,40,35,50,100,70
,,,,,,,,,,,
73,Tentacruel,Water,Poison,No alternate type,515,80,70,65,80,120,100
,,,,,,,,,,,
74,Geodude,Rock,Ground,Rock,300,40,80,100,30,30,20
,,,,,,,,,,,
75,Graveler,Rock,Ground,Rock,390,55,95,115,45,45,35
,,,,,,,,,,,
76,Golem,Rock,Ground,Rock,495,80,120,130,55,65,45
,,,,,,,,,,,
77,Ponyta,Fire,No second type,No alternate type,410,50,85,55,65,65,90
,,,,,,,,,,,
78,Rapidash,Fire,No second type,No alternate type,500,65,100,70,80,80,105
,,,,,,,,,,,
79,Slowpoke,Water,Psychic,No alternate type,315,90,65,65,40,40,15
,,,,,,,,,,,
80,Slowbro,Water,Psychic,No alternate type,490,95,75,110,100,80,30
,,,,,,,,,,,
81,Magnemite,Electric,Steel,No alternate type,325,25,35,70,95,55,45
,,,,,,,,,,,
82,Magneton,Electric,Steel,No alternate type,465,50,60,95,120,70,70
,,,,,,,,,,,
83,Farfetch'd,Normal,Flying,No alternate type,377,52,90,55,58,62,60
,,,,,,,,,,,
84,Doduo,Normal,Flying,No alternate type,310,35,85,45,35,35,75
,,,,,,,,,,,
85,Dodrio,Normal,Flying,No alternate type,470,60,110,70,60,60,110
,,,,,,,,,,,
86,Seel,Water,No second type,No alternate type,325,65,45,55,45,70,45
,,,,,,,,,,,
87,Dewgong,Water,Ice,No alternate type,475,90,70,80,70,95,70
,,,,,,,,,,,
88,Grimer,Poison,Poison,Dark,325,80,80,50,40,50,25
,,,,,,,,,,,
89,Muk,Poison,Poison,Dark,500,105,105,75,65,100,50
,,,,,,,,,,,
90,Shellder,Water,No second type,No alternate type,305,30,65,100,45,25,40
,,,,,,,,,,,
91,Cloyster,Water,Ice,No alternate type,525,50,95,180,85,45,70
,,,,,,,,,,,
92,Gastly,Ghost,Poison,No alternate type,310,30,35,30,100,35,80
,,,,,,,,,,,
93,Haunter,Ghost,Poison,No alternate type,405,45,50,45,115,55,95
,,,,,,,,,,,
94,Gengar,Ghost,Poison,No alternate type,500,60,65,60,130,75,110
,,,,,,,,,,,
95,Onix,Rock,Ground,No alternate type,385,35,45,160,30,45,70
,,,,,,,,,,,
96,Drowzee,Psychic,No second type,No alternate type,328,60,48,45,43,90,42
,,,,,,,,,,,
97,Hypno,Psychic,No second type,No alternate type,483,85,73,70,73,115,67
,,,,,,,,,,,
98,Krabby,Water,No second type,No alternate type,325,30,105,90,25,25,50
,,,,,,,,,,,
99,Kingler,Water,No second type,No alternate type,475,55,130,115,50,50,75
,,,,,,,,,,,
100,Voltorb,Electric,No second type,No alternate type,330,40,30,50,55,55,100
,,,,,,,,,,,
101,Electrode,Electric,No second type,No alternate type,490,60,50,70,80,80,150
,,,,,,,,,,,
102,Exeggcute,Grass,Psychic,No alternate type,325,60,40,80,60,45,40
,,,,,,,,,,,
103,Exeggutor,Grass,Psychic,Grass,530,95,105,85,125,75,45
,,,,,,,,,,,
104,Cubone,Ground,No second type,No alternate type,320,50,50,95,40,50,35
,,,,,,,,,,,
105,Marowak,Ground,Fire,Ghost,425,60,80,110,50,80,45
,,,,,,,,,,,
106,Hitmonlee,Fighting,No second type,No alternate type,455,50,120,53,35,110,87
,,,,,,,,,,,
107,Hitmonchan,Fighting,No second type,No alternate type,455,50,105,79,35,110,76
,,,,,,,,,,,
108,Lickitung,Normal,No second type,No alternate type,385,90,55,75,60,75,30
,,,,,,,,,,,
109,Koffing,Poison,No second type,No alternate type,340,40,65,95,60,45,35
,,,,,,,,,,,
110,Weezing,Poison,No second type,No alternate type,490,65,90,120,85,70,60
,,,,,,,,,,,
111,Rhyhorn,Ground,Rock,No alternate type,345,80,85,95,30,30,25
,,,,,,,,,,,
112,Rhydon,Ground,Rock,No alternate type,485,105,130,120,45,45,40
,,,,,,,,,,,
113,Chansey,Normal,No second type,No alternate type,450,250,5,5,35,105,50
,,,,,,,,,,,
114,Tangela,Grass,No second type,No alternate type,435,65,55,115,100,40,60
,,,,,,,,,,,
115,Kangaskhan,Normal,No second type,No alternate type,490,105,95,80,40,80,90
,,,,,,,,,,,
116,Horsea,Water,No second type,No alternate type,295,30,40,70,70,25,60
,,,,,,,,,,,
117,Seadra,Water,No second type,No alternate type,440,55,65,95,95,45,85
,,,,,,,,,,,
118,Goldeen,Water,No second type,No alternate type,320,45,67,60,35,50,63
,,,,,,,,,,,
119,Seaking,Water,No second type,No alternate type,450,80,92,65,65,80,68
,,,,,,,,,,,
120,Staryu,Water,No second type,No alternate type,340,30,45,55,70,55,85
,,,,,,,,,,,
121,Starmie,Water,Psychic,No alternate type,520,60,75,85,100,85,115
,,,,,,,,,,,
122,Mr.Mime,Psychic,Fairy,No alternate type,460,40,45,65,100,120,90
,,,,,,,,,,,
123,Scyther,Bug,Flying,No alternate type,500,70,110,80,55,80,105
,,,,,,,,,,,
124,Jynx,Ice,Psychic,No alternate type,455,65,50,35,115,95,95
,,,,,,,,,,,
125,Electabuzz,Electric,No second type,No alternate type,490,65,83,57,95,85,105
,,,,,,,,,,,
126,Magmar,Fire,No second type,No alternate type,495,65,95,57,100,85,93
,,,,,,,,,,,
127,Pinsir,Bug,No second type,No alternate type,500,65,125,100,55,70,85
,,,,,,,,,,,
128,Tauros,Normal,No second type,No alternate type,490,75,100,95,40,70,110
,,,,,,,,,,,
129,Magikarp,Water,No second type,No alternate type,200,20,10,55,15,20,80
,,,,,,,,,,,
130,Gyarados,Water,Flying,No alternate type,540,95,125,79,60,100,81
,,,,,,,,,,,
131,Lapras,Water,Ice,No alternate type,535,130,85,80,85,95,60
,,,,,,,,,,,
132,Ditto,Normal,No second type,No alternate type,288,48,48,48,48,48,48
,,,,,,,,,,,
133,Eevee,Normal,No second type,No alternate type,325,65,75,70,65,85,75
,,,,,,,,,,,
134,Vaporeon,Water,No second type,No alternate type,525,130,65,60,110,95,65
,,,,,,,,,,,
135,Jolteon,Electric,No second type,No alternate type,525,65,65,60,110,95,130
,,,,,,,,,,,
136,Flareon,Fire,No second type,No alternate type,525,65,130,60,95,110,65
,,,,,,,,,,,
137,Porygon,Normal,No second type,No alternate type,395,65,60,70,85,75,40
,,,,,,,,,,,
138,Omanyte,Rock,Water,No alternate type,355,35,40,100,90,55,35
,,,,,,,,,,,
139,Omastar,Rock,Water,No alternate type,495,70,60,125,115,70,55
,,,,,,,,,,,
140,Kabuto,Rock,Water,No alternate type,355,30,80,90,55,45,55
,,,,,,,,,,,
141,Kabutops,Rock,Water,No alternate type,495,60,115,105,65,70,80
,,,,,,,,,,,
142,Aerodactyl,Rock,Flying,No alternate type,515,80,105,65,60,75,130
,,,,,,,,,,,
143,Snorlax,Normal,No second type,No alternate type,540,160,110,65,65,110,30
,,,,,,,,,,,
144,Articuno,Ice,Flying,No alternate type,580,90,85,100,95,125,85
,,,,,,,,,,,
145,Zapdos,Electric,Flying,No alternate type,580,90,90,85,125,90,100
,,,,,,,,,,,
146,Moltres,Fire,Flying,No alternate type,580,90,100,90,125,85,90
,,,,,,,,,,,
147,Dratini,Dragon,No second type,No alternate type,300,41,64,45,50,50,50
,,,,,,,,,,,
148,Dragonair,Dragon,No second type,No alternate type,420,61,84,65,70,70,70
,,,,,,,,,,,
149,Dragonite,Dragon,Flying,No alternate type,600,91,134,95,100,100,80
,,,,,,,,,,,
150,Mewtwo,Psychic,No second type,No alternate type,680,106,110,90,154,90,130
,,,,,,,,,,,
151,Mew,Psychic,No second type,No alternate type,600,100,100,100,100,100,100
,,,,,,,,,,,
152,Chikorita,Grass,No second type,No alternate type,318,45,49,65,49,65,45
,,,,,,,,,,,
153,Bayleef,Grass,No second type,No alternate type,405,60,62,80,63,80,60
,,,,,,,,,,,
154,Meganium,Grass,No second type,No alternate type,525,80,82,100,83,100,80
,,,,,,,,,,,
155,Cyndaquil,Fire,No second type,No alternate type,309,39,52,43,60,50,65
,,,,,,,,,,,
156,Quilava,Fire,No second type,No alternate type,405,58,64,58,80,65,80
,,,,,,,,,,,
157,Typhlosion,Fire,No second type,No alternate type,534,78,84,78,109,85,100
,,,,,,,,,,,
158,Totodile,Water,No second type,No alternate type,314,50,65,64,44,48,43
,,,,,,,,,,,
159,Croconaw,Water,No second type,No alternate type,405,65,80,80,59,63,58
,,,,,,,,,,,
160,Feraligatr,Water,No second type,No alternate type,530,85,105,100,79,83,78
,,,,,,,,,,,
161,Sentret,Normal,No second type,No alternate type,215,35,46,34,35,45,20
,,,,,,,,,,,
162,Furret,Normal,No second type,No alternate type,415,85,76,64,45,55,90
,,,,,,,,,,,
163,Hoothoot,Normal,Flying,No alternate type,262,60,30,30,36,56,50
,,,,,,,,,,,
164,Noctowl,Normal,Flying,No alternate type,452,100,50,50,86,96,70
,,,,,,,,,,,
165,Ledyba,Bug,Flying,No alternate type,265,40,20,30,40,80,55
,,,,,,,,,,,
166,Ledian,Bug,Flying,No alternate type,390,55,35,50,55,110,85
,,,,,,,,,,,
167,Spinarak,Bug,Poison,No alternate type,250,40,60,40,40,40,30
,,,,,,,,,,,
168,Ariados,Bug,Poison,No alternate type,400,70,90,70,60,70,40
,,,,,,,,,,,
169,Crobat,Poison,Flying,No alternate type,535,85,90,80,70,80,130
,,,,,,,,,,,
170,Chinchou,Water,Electric,No alternate type,330,75,38,38,56,56,67
,,,,,,,,,,,
171,Lanturn,Water,Electric,No alternate type,460,125,58,58,76,76,67
,,,,,,,,,,,
172,Pichu,Electric,No second type,No alternate type,205,20,40,15,35,35,60
,,,,,,,,,,,
173,Cleffa,Fairy,No second type,No alternate type,218,50,25,28,45,55,15
,,,,,,,,,,,
174,Igglybuff,Normal,Fairy,No alternate type,210,90,30,15,40,20,15
,,,,,,,,,,,
175,Togepi,Fairy,No second type,No alternate type,245,35,20,65,40,65,20
,,,,,,,,,,,
176,Togetic,Fairy,Flying,No alternate type,405,55,40,85,80,105,40
,,,,,,,,,,,
177,Natu,Psychic,Flying,No alternate type,320,40,50,45,70,45,70
,,,,,,,,,,,
178,Xatu,Psychic,Flying,No alternate type,470,65,75,70,95,70,95
,,,,,,,,,,,
179,Mareep,Electric,No second type,No alternate type,280,55,40,40,65,45,35
,,,,,,,,,,,
180,Flaaffy,Electric,No second type,No alternate type,365,70,55,55,80,60,45
,,,,,,,,,,,
181,Ampharos,Electric,No second type,No alternate type,510,90,95,105,165,110,45
,,,,,,,,,,,
182,Bellossom,Grass,No second type,No alternate type,490,75,80,95,90,100,50
,,,,,,,,,,,
183,Marill,Water,Fairy,No alternate type,250,70,20,50,20,50,40
,,,,,,,,,,,
184,Azumarill,Water,Fairy,No alternate type,420,100,50,80,60,80,50
,,,,,,,,,,,
185,Sudowoodo,Rock,No second type,No alternate type,410,70,100,115,30,65,30
,,,,,,,,,,,
186,Politoed,Water,No second type,No alternate type,500,90,75,75,90,100,70
,,,,,,,,,,,
187,Hoppip,Grass,Flying,No alternate type,250,35,35,40,35,55,50
,,,,,,,,,,,
188,Skiploom,Grass,Flying,No alternate type,340,55,45,50,45,65,80
,,,,,,,,,,,
189,Jumpluff,Grass,Flying,No alternate type,460,75,55,70,55,95,110
,,,,,,,,,,,
190,Aipom,Normal,No second type,No alternate type,360,55,70,55,40,55,85
,,,,,,,,,,,
191,Sunkern,Grass,No second type,No alternate type,180,30,30,30,30,30,30
,,,,,,,,,,,
192,Sunflora,Grass,No second type,No alternate type,425,75,75,55,105,85,30
,,,,,,,,,,,
193,Yanma,Bug,Flying,No alternate type,390,65,65,45,75,45,95
,,,,,,,,,,,
194,Wooper,Water,Ground,No alternate type,210,55,45,45,25,25,15
,,,,,,,,,,,
195,Quagsire,Water,Ground,No alternate type,430,95,85,85,65,65,35
,,,,,,,,,,,
196,Espeon,Psychic,No second type,No alternate type,525,65,65,60,130,95,110
,,,,,,,,,,,
197,Umbreon,Dark,No second type,No alternate type,525,95,65,110,60,130,65
,,,,,,,,,,,
198,Murkrow,Dark,Flying,No alternate type,405,60,85,42,85,42,91
,,,,,,,,,,,
199,Slowking,Water,Psychic,No alternate type,490,95,75,80,100,110,30
,,,,,,,,,,,
200,Misdreavus,Ghost,No second type,No alternate type,435,60,60,60,85,85,85
,,,,,,,,,,,
201,Unown,Psychic,No second type,No alternate type,336,48,72,48,72,48,48
,,,,,,,,,,,
202,Wobbuffet,Psychic,No second type,No alternate type,405,190,33,58,33,58,33
,,,,,,,,,,,
203,Girafarig,Normal,Psychic,No alternate type,455,70,80,65,90,65,85
,,,,,,,,,,,
204,Pineco,Bug,No second type,No alternate type,290,50,65,90,35,35,15
,,,,,,,,,,,
205,Forretress,Bug,Steel,No alternate type,465,75,90,140,60,60,40
,,,,,,,,,,,
206,Dunsparce,Normal,No second type,No alternate type,415,100,70,70,65,65,45
,,,,,,,,,,,
207,Gligar,Ground,Flying,No alternate type,430,65,75,105,35,65,85
,,,,,,,,,,,
208,Steelix,Steel,Ground,No alternate type,510,75,125,230,55,95,30
,,,,,,,,,,,
209,Snubbull,Fairy,No second type,No alternate type,300,60,80,50,40,40,30
,,,,,,,,,,,
210,Granbull,Fairy,No second type,No alternate type,450,90,120,75,60,60,45
,,,,,,,,,,,
211,Qwilfish,Water,Poison,No alternate type,440,65,95,85,55,55,85
,,,,,,,,,,,
212,Scizor,Bug,Steel,No alternate type,500,70,150,140,65,100,75
,,,,,,,,,,,
213,Shuckle,Bug,Rock,No alternate type,505,20,10,230,10,230,5
,,,,,,,,,,,
214,Heracross,Bug,Fighting,No alternate type,500,80,185,115,40,105,75
,,,,,,,,,,,
215,Sneasel,Dark,Ice,No alternate type,430,55,95,55,35,75,115
,,,,,,,,,,,
216,Teddiursa,Normal,No second type,No alternate type,330,60,80,50,50,50,40
,,,,,,,,,,,
217,Ursaring,Normal,No second type,No alternate type,500,90,130,75,75,75,55
,,,,,,,,,,,
218,Slugma,Fire,No second type,No alternate type,250,40,40,40,70,40,20
,,,,,,,,,,,
219,Magcargo,Fire,Rock,No alternate type,430,60,50,120,90,80,30
,,,,,,,,,,,
220,Swinub,Ice,Ground,No alternate type,250,50,50,40,30,30,50
,,,,,,,,,,,
221,Piloswine,Ice,Ground,No alternate type,450,100,100,80,60,60,50
,,,,,,,,,,,
222,Corsola,Water,Rock,No alternate type,410,65,55,95,65,95,35
,,,,,,,,,,,
223,Remoraid,Water,No second type,No alternate type,300,35,65,35,65,35,65
,,,,,,,,,,,
224,Octillery,Water,No second type,No alternate type,480,75,105,75,105,75,45
,,,,,,,,,,,
225,Delibird,Ice,Flying,No alternate type,330,45,55,45,65,45,75
,,,,,,,,,,,
226,Mantine,Water,Flying,No alternate type,485,85,40,70,80,140,70
,,,,,,,,,,,
227,Skarmory,Steel,Flying,No alternate type,465,65,80,140,40,70,70
,,,,,,,,,,,
228,Houndour,Dark,Fire,No alternate type,330,45,60,30,80,50,65
,,,,,,,,,,,
229,Houndoom,Dark,Fire,No alternate type,500,75,90,90,140,90,115
,,,,,,,,,,,
230,Kingdra,Water,Dragon,No alternate type,540,75,95,95,95,95,85
,,,,,,,,,,,
231,Phanpy,Ground,No second type,No alternate type,330,90,60,60,40,40,40
,,,,,,,,,,,
232,Donphan,Ground,No second type,No alternate type,500,90,120,120,60,60,50
,,,,,,,,,,,
233,Porygon2,Normal,No second type,No alternate type,515,85,80,90,105,95,60
,,,,,,,,,,,
234,Stantler,Normal,No second type,No alternate type,465,73,95,62,85,65,85
,,,,,,,,,,,
235,Smeargle,Normal,No second type,No alternate type,250,55,20,35,20,45,75
,,,,,,,,,,,
236,Tyrogue,Fighting,No second type,No alternate type,210,35,35,35,35,35,35
,,,,,,,,,,,
237,Hitmontop,Fighting,No second type,No alternate type,455,50,95,95,35,110,70
,,,,,,,,,,,
238,Smoochum,Ice,Psychic,No alternate type,305,45,30,15,85,65,65
,,,,,,,,,,,
239,Elekid,Electric,No second type,No alternate type,360,45,63,37,65,55,95
,,,,,,,,,,,
240,Magby,Fire,No second type,No alternate type,365,45,75,37,70,55,83
,,,,,,,,,,,
241,Miltank,Normal,No second type,No alternate type,490,95,80,105,40,70,100
,,,,,,,,,,,
242,Blissey,Normal,No second type,No alternate type,540,255,10,10,75,135,55
,,,,,,,,,,,
243,Raikou,Electric,No second type,No alternate type,580,90,85,75,115,100,115
,,,,,,,,,,,
244,Entei,Fire,No second type,No alternate type,580,115,115,85,90,75,100
,,,,,,,,,,,
245,Suicune,Water,No second type,No alternate type,580,100,75,115,90,115,85
,,,,,,,,,,,
246,Larvitar,Rock,Ground,No alternate type,300,50,64,50,45,50,41
,,,,,,,,,,,
247,Pupitar,Rock,Ground,No alternate type,410,70,84,70,65,70,51
,,,,,,,,,,,
248,Tyranitar,Rock,Dark,No alternate type,600,100,164,150,95,120,71
,,,,,,,,,,,
249,Lugia,Psychic,Flying,No alternate type,680,106,90,130,90,154,110
,,,,,,,,,,,
250,Ho-Oh,Fire,Flying,No alternate type,680,106,130,90,110,154,90
,,,,,,,,,,,
251,Celebi,Psychic,Grass,No alternate type,600,100,100,100,100,100,100
,,,,,,,,,,,
252,Treecko,Grass,No second type,No alternate type,310,40,45,35,65,55,70
,,,,,,,,,,,
253,Grovyle,Grass,No second type,No alternate type,405,50,65,45,85,65,95
,,,,,,,,,,,
254,Sceptile,Grass,No second type,No alternate type,530,70,110,75,145,85,145
,,,,,,,,,,,
255,Torchic,Fire,No second type,No alternate type,310,45,60,40,70,50,45
,,,,,,,,,,,
256,Combusken,Fire,Fighting,No alternate type,405,60,85,60,85,60,55
,,,,,,,,,,,
257,Blaziken,Fire,Fighting,No alternate type,530,80,160,80,130,80,100
,,,,,,,,,,,
258,Mudkip,Water,No second type,No alternate type,310,50,70,50,50,50,40
,,,,,,,,,,,
259,Marshtomp,Water,Ground,No alternate type,405,70,85,70,60,70,50
,,,,,,,,,,,
260,Swampert,Water,Ground,No alternate type,535,100,150,110,95,110,70
,,,,,,,,,,,
261,Poochyena,Dark,No second type,No alternate type,220,35,55,35,30,30,35
,,,,,,,,,,,
262,Mightyena,Dark,No second type,No alternate type,420,70,90,70,60,60,70
,,,,,,,,,,,
263,Zigzagoon,Normal,No second type,No alternate type,240,38,30,41,30,41,60
,,,,,,,,,,,
264,Linoone,Normal,No second type,No alternate type,420,78,70,61,50,61,100
,,,,,,,,,,,
265,Wurmple,Bug,No second type,No alternate type,195,45,45,35,20,30,20
,,,,,,,,,,,
266,Silcoon,Bug,No second type,No alternate type,205,50,35,55,25,25,15
,,,,,,,,,,,
267,Beautifly,Bug,Flying,No alternate type,395,60,70,50,100,50,65
,,,,,,,,,,,
268,Cascoon,Bug,No second type,No alternate type,205,50,35,55,25,25,15
,,,,,,,,,,,
269,Dustox,Bug,Poison,No alternate type,385,60,50,70,50,90,65
,,,,,,,,,,,
270,Lotad,Water,Grass,No alternate type,220,40,30,30,40,50,30
,,,,,,,,,,,
271,Lombre,Water,Grass,No alternate type,340,60,50,50,60,70,50
,,,,,,,,,,,
272,Ludicolo,Water,Grass,No alternate type,480,80,70,70,90,100,70
,,,,,,,,,,,
273,Seedot,Grass,No second type,No alternate type,220,40,40,50,30,30,30
,,,,,,,,,,,
274,Nuzleaf,Grass,Dark,No alternate type,340,70,70,40,60,40,60
,,,,,,,,,,,
275,Shiftry,Grass,Dark,No alternate type,480,90,100,60,90,60,80
,,,,,,,,,,,
276,Taillow,Normal,Flying,No alternate type,270,40,55,30,30,30,85
,,,,,,,,,,,
277,Swellow,Normal,Flying,No alternate type,455,60,85,60,75,50,125
,,,,,,,,,,,
278,Wingull,Water,Flying,No alternate type,270,40,30,30,55,30,85
,,,,,,,,,,,
279,Pelipper,Water,Flying,No alternate type,440,60,50,100,95,70,65
,,,,,,,,,,,
280,Ralts,Psychic,Fairy,No alternate type,198,28,25,25,45,35,40
,,,,,,,,,,,
281,Kirlia,Psychic,Fairy,No alternate type,278,38,35,35,65,55,50
,,,,,,,,,,,
282,Gardevoir,Psychic,Fairy,No alternate type,518,68,85,65,165,135,100
,,,,,,,,,,,
283,Surskit,Bug,Water,No alternate type,269,40,30,32,50,52,65
,,,,,,,,,,,
284,Masquerain,Bug,Flying,No alternate type,454,70,60,62,100,82,80
,,,,,,,,,,,
285,Shroomish,Grass,No second type,No alternate type,295,60,40,60,40,60,35
,,,,,,,,,,,
286,Breloom,Grass,Fighting,No alternate type,460,60,130,80,60,60,70
,,,,,,,,,,,
287,Slakoth,Normal,No second type,No alternate type,280,60,60,60,35,35,30
,,,,,,,,,,,
288,Vigoroth,Normal,No second type,No alternate type,440,80,80,80,55,55,90
,,,,,,,,,,,
289,Slaking,Normal,No second type,No alternate type,670,150,160,100,95,65,100
,,,,,,,,,,,
290,Nincada,Bug,Ground,No alternate type,266,31,45,90,30,30,40
,,,,,,,,,,,
291,Ninjask,Bug,Flying,No alternate type,456,61,90,45,50,50,160
,,,,,,,,,,,
